"Plot Title: DO_01"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 20645539, SEN S/N: 20645539)","Temp, °C (LGR S/N: 20645539, SEN S/N: 20645539)","Coupler Attached (LGR S/N: 20645539)","Host Connected (LGR S/N: 20645539)","End Of File (LGR S/N: 20645539)"
204,07/14/19 07:45:00 PM,6.04,5.82,,,
205,07/14/19 08:00:00 PM,5.97,5.78,,,
206,07/14/19 08:15:00 PM,5.92,5.72,,,
207,07/14/19 08:30:00 PM,5.86,5.70,,,
208,07/14/19 08:45:00 PM,5.80,5.66,,,
209,07/14/19 09:00:00 PM,5.75,5.62,,,
210,07/14/19 09:15:00 PM,5.72,5.56,,,
211,07/14/19 09:30:00 PM,5.71,5.52,,,
212,07/14/19 09:45:00 PM,5.68,5.48,,,
213,07/14/19 10:00:00 PM,5.69,5.42,,,
214,07/14/19 10:15:00 PM,5.65,5.38,,,
215,07/14/19 10:30:00 PM,5.61,5.36,,,
216,07/14/19 10:45:00 PM,5.60,5.30,,,
217,07/14/19 11:00:00 PM,5.58,5.24,,,
218,07/14/19 11:15:00 PM,5.54,5.22,,,
219,07/14/19 11:30:00 PM,5.54,5.20,,,
220,07/14/19 11:45:00 PM,5.51,5.18,,,
221,07/15/19 12:00:00 AM,5.49,5.14,,,
222,07/15/19 12:15:00 AM,5.47,5.10,,,
223,07/15/19 12:30:00 AM,5.44,5.08,,,
224,07/15/19 12:45:00 AM,5.45,5.02,,,
225,07/15/19 01:00:00 AM,5.51,4.96,,,
226,07/15/19 01:15:00 AM,5.52,4.86,,,
227,07/15/19 01:30:00 AM,5.48,4.84,,,
228,07/15/19 01:45:00 AM,5.44,4.82,,,
229,07/15/19 02:00:00 AM,5.43,4.82,,,
230,07/15/19 02:15:00 AM,5.46,4.76,,,
231,07/15/19 02:30:00 AM,5.45,4.74,,,
232,07/15/19 02:45:00 AM,5.43,4.72,,,
233,07/15/19 03:00:00 AM,5.41,4.70,,,
234,07/15/19 03:15:00 AM,5.46,4.62,,,
235,07/15/19 03:30:00 AM,5.52,4.48,,,
236,07/15/19 03:45:00 AM,5.49,4.48,,,
237,07/15/19 04:00:00 AM,5.48,4.48,,,
238,07/15/19 04:15:00 AM,5.49,4.46,,,
239,07/15/19 04:30:00 AM,5.45,4.46,,,
240,07/15/19 04:45:00 AM,5.44,4.46,,,
241,07/15/19 05:00:00 AM,5.45,4.42,,,
242,07/15/19 05:15:00 AM,5.46,4.38,,,
243,07/15/19 05:30:00 AM,5.49,4.34,,,
244,07/15/19 05:45:00 AM,5.49,4.28,,,
245,07/15/19 06:00:00 AM,5.51,4.22,,,
246,07/15/19 06:15:00 AM,5.50,4.20,,,
247,07/15/19 06:30:00 AM,5.51,4.18,,,
248,07/15/19 06:45:00 AM,5.53,4.18,,,
249,07/15/19 07:00:00 AM,5.58,4.20,,,
250,07/15/19 07:15:00 AM,5.64,4.20,,,
251,07/15/19 07:30:00 AM,5.73,4.22,,,
252,07/15/19 07:45:00 AM,5.79,4.28,,,
253,07/15/19 08:00:00 AM,5.88,4.30,,,
254,07/15/19 08:15:00 AM,6.02,4.34,,,
255,07/15/19 08:30:00 AM,6.11,4.40,,,
256,07/15/19 08:45:00 AM,6.19,4.48,,,
257,07/15/19 09:00:00 AM,6.26,4.62,,,
258,07/15/19 09:15:00 AM,6.33,4.74,,,
259,07/15/19 09:30:00 AM,6.40,4.82,,,
260,07/15/19 09:45:00 AM,6.48,4.84,,,
261,07/15/19 10:00:00 AM,6.59,4.88,,,
262,07/15/19 10:15:00 AM,6.74,4.88,,,
263,07/15/19 10:30:00 AM,6.84,4.92,,,
264,07/15/19 10:45:00 AM,6.90,4.92,,,
265,07/15/19 11:00:00 AM,6.94,5.06,,,
266,07/15/19 11:12:56 AM,,,Logged,,
267,07/15/19 11:13:08 AM,,,,Logged,Logged
