"Plot Title: DO_3"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 20645538, SEN S/N: 20645538)","Temp, °F (LGR S/N: 20645538, SEN S/N: 20645538)","Coupler Detached (LGR S/N: 20645538)","Coupler Attached (LGR S/N: 20645538)","Host Connected (LGR S/N: 20645538)","End Of File (LGR S/N: 20645538)"
58,07/11/19 02:31:38 AM,7.83,41.18,,,,
59,07/11/19 02:46:38 AM,7.84,41.07,,,,
60,07/11/19 03:01:38 AM,7.85,41.00,,,,
61,07/11/19 03:16:38 AM,7.86,40.89,,,,
62,07/11/19 03:31:38 AM,7.88,40.75,,,,
63,07/11/19 03:46:38 AM,7.89,40.60,,,,
64,07/11/19 04:01:38 AM,7.90,40.42,,,,
65,07/11/19 04:16:38 AM,7.93,40.28,,,,
66,07/11/19 04:31:38 AM,7.94,40.21,,,,
67,07/11/19 04:46:38 AM,7.94,40.17,,,,
68,07/11/19 05:01:38 AM,7.95,40.10,,,,
69,07/11/19 05:16:38 AM,7.95,40.06,,,,
70,07/11/19 05:31:38 AM,7.96,40.03,,,,
71,07/11/19 05:46:38 AM,7.96,39.96,,,,
72,07/11/19 06:01:38 AM,7.97,39.85,,,,
73,07/11/19 06:16:38 AM,7.99,39.74,,,,
74,07/11/19 06:31:38 AM,8.00,39.67,,,,
75,07/11/19 06:46:38 AM,8.01,39.56,,,,
76,07/11/19 07:01:38 AM,8.03,39.45,,,,
77,07/11/19 07:16:38 AM,8.04,39.34,,,,
78,07/11/19 07:31:38 AM,8.06,39.27,,,,
79,07/11/19 07:46:38 AM,8.07,39.20,,,,
80,07/11/19 08:01:38 AM,8.07,39.20,,,,
81,07/11/19 08:16:38 AM,8.04,39.45,,,,
82,07/11/19 08:31:38 AM,8.00,39.85,,,,
83,07/11/19 08:46:38 AM,7.94,40.42,,,,
84,07/11/19 09:01:38 AM,7.87,41.11,,,,
85,07/11/19 09:16:38 AM,7.79,41.83,,,,
86,07/11/19 09:31:38 AM,7.71,42.55,,,,
87,07/11/19 09:46:38 AM,7.65,43.12,,,,
88,07/11/19 10:01:38 AM,7.60,43.59,,,,
89,07/11/19 10:16:38 AM,7.55,44.06,,,,
90,07/11/19 10:31:38 AM,7.48,44.78,,,,
91,07/11/19 10:46:38 AM,7.37,45.82,,,,
92,07/11/19 11:01:38 AM,7.27,46.90,,,,
93,07/11/19 11:16:38 AM,7.16,48.02,,,,
94,07/11/19 11:31:38 AM,7.04,49.10,,,,
95,07/11/19 11:46:38 AM,6.94,50.22,,,,
96,07/11/19 12:01:38 PM,6.85,51.08,,,,
97,07/11/19 12:16:38 PM,6.76,51.91,,,,
98,07/11/19 12:31:38 PM,6.68,52.81,,,,
99,07/11/19 12:33:22 PM,,,,Logged,,
100,07/11/19 12:33:23 PM,,,,,Logged,Logged
