"Plot Title: DO_2"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 20645540, SEN S/N: 20645540)","Temp, °C (LGR S/N: 20645540, SEN S/N: 20645540)","Coupler Attached (LGR S/N: 20645540)","Host Connected (LGR S/N: 20645540)","Coupler Detached (LGR S/N: 20645540)","Stopped (LGR S/N: 20645540)","End Of File (LGR S/N: 20645540)"
38,07/13/19 02:15:00 AM,3.65,8.42,,,,,
39,07/13/19 02:30:00 AM,3.63,8.38,,,,,
40,07/13/19 02:45:00 AM,3.63,8.32,,,,,
41,07/13/19 03:00:00 AM,3.62,8.26,,,,,
42,07/13/19 03:15:00 AM,3.67,8.16,,,,,
43,07/13/19 03:30:00 AM,3.67,8.08,,,,,
44,07/13/19 03:45:00 AM,3.67,8.02,,,,,
45,07/13/19 04:00:00 AM,3.67,7.96,,,,,
46,07/13/19 04:15:00 AM,3.67,7.90,,,,,
47,07/13/19 04:30:00 AM,3.66,7.86,,,,,
48,07/13/19 04:45:00 AM,3.66,7.80,,,,,
49,07/13/19 05:00:00 AM,3.67,7.76,,,,,
50,07/13/19 05:15:00 AM,3.68,7.68,,,,,
51,07/13/19 05:30:00 AM,3.70,7.58,,,,,
52,07/13/19 05:45:00 AM,3.74,7.48,,,,,
53,07/13/19 06:00:00 AM,3.78,7.38,,,,,
54,07/13/19 06:15:00 AM,3.77,7.36,,,,,
55,07/13/19 06:30:00 AM,3.78,7.36,,,,,
56,07/13/19 06:45:00 AM,3.78,7.34,,,,,
57,07/13/19 07:00:00 AM,3.82,7.30,,,,,
58,07/13/19 07:15:00 AM,3.90,7.28,,,,,
59,07/13/19 07:30:00 AM,4.02,7.26,,,,,
60,07/13/19 07:45:00 AM,4.14,7.26,,,,,
61,07/13/19 08:00:00 AM,4.28,7.30,,,,,
62,07/13/19 08:15:00 AM,4.44,7.34,,,,,
63,07/13/19 08:30:00 AM,4.57,7.38,,,,,
64,07/13/19 08:45:00 AM,4.70,7.44,,,,,
65,07/13/19 09:00:00 AM,4.84,7.54,,,,,
66,07/13/19 09:15:00 AM,4.96,7.66,,,,,
67,07/13/19 09:30:00 AM,5.07,7.74,,,,,
68,07/13/19 09:45:00 AM,5.20,7.90,,,,,
69,07/13/19 10:00:00 AM,5.33,8.06,,,,,
70,07/13/19 10:15:00 AM,5.43,8.16,,,,,
71,07/13/19 10:30:00 AM,5.51,8.24,,,,,
72,07/13/19 10:45:00 AM,5.59,8.34,,,,,
73,07/13/19 11:00:00 AM,5.70,8.56,,,,,
74,07/13/19 11:15:00 AM,5.78,8.94,,,,,
75,07/13/19 11:30:00 AM,5.84,9.10,,,,,
76,07/13/19 11:45:00 AM,5.89,9.16,,,,,
77,07/13/19 12:00:00 PM,5.97,9.36,,,,,
78,07/13/19 12:15:00 PM,6.03,9.64,,,,,
79,07/13/19 12:30:00 PM,6.08,9.82,,,,,
80,07/13/19 12:45:00 PM,6.12,10.06,,,,,
81,07/13/19 01:00:00 PM,6.13,10.18,,,,,
82,07/13/19 01:15:00 PM,6.18,10.34,,,,,
83,07/13/19 01:30:00 PM,6.21,10.48,,,,,
84,07/13/19 01:45:00 PM,6.25,10.60,,,,,
85,07/13/19 02:00:00 PM,6.25,10.90,,,,,
86,07/13/19 02:15:00 PM,6.27,11.12,,,,,
87,07/13/19 02:30:00 PM,6.27,11.18,,,,,
88,07/13/19 02:45:00 PM,6.26,11.10,,,,,
89,07/13/19 03:00:00 PM,6.28,11.20,,,,,
90,07/13/19 03:15:00 PM,6.30,11.54,,,,,
91,07/13/19 03:30:00 PM,6.30,11.72,,,,,
92,07/13/19 03:45:00 PM,6.30,11.96,,,,,
93,07/13/19 04:00:00 PM,6.27,12.04,,,,,
94,07/13/19 04:15:00 PM,6.23,12.00,,,,,
95,07/13/19 04:30:00 PM,6.16,11.94,,,,,
96,07/13/19 04:45:00 PM,6.11,11.74,,,,,
97,07/13/19 05:00:00 PM,6.03,11.52,,,,,
98,07/13/19 05:15:00 PM,5.97,11.32,,,,,
99,07/13/19 05:30:00 PM,5.90,11.12,,,,,
100,07/13/19 05:45:00 PM,5.81,10.92,,,,,
101,07/13/19 06:00:00 PM,5.68,10.66,,,,,
102,07/13/19 06:15:00 PM,5.56,10.42,,,,,
103,07/13/19 06:30:00 PM,5.46,10.20,,,,,
104,07/13/19 06:45:00 PM,5.34,10.00,,,,,
105,07/13/19 07:00:00 PM,5.24,9.86,,,,,
106,07/13/19 07:15:00 PM,5.13,9.74,,,,,
107,07/13/19 07:30:00 PM,5.05,9.58,,,,,
108,07/13/19 07:45:00 PM,4.96,9.46,,,,,
109,07/13/19 08:00:00 PM,4.89,9.34,,,,,
110,07/13/19 08:15:00 PM,4.81,9.22,,,,,
111,07/13/19 08:30:00 PM,4.75,9.12,,,,,
112,07/13/19 08:45:00 PM,4.70,9.02,,,,,
113,07/13/19 09:00:00 PM,4.65,8.94,,,,,
114,07/13/19 09:15:00 PM,4.59,8.86,,,,,
115,07/13/19 09:30:00 PM,4.56,8.76,,,,,
116,07/13/19 09:45:00 PM,4.51,8.68,,,,,
117,07/13/19 10:00:00 PM,4.47,8.62,,,,,
118,07/13/19 10:15:00 PM,4.44,8.54,,,,,
119,07/13/19 10:30:00 PM,4.39,8.48,,,,,
120,07/13/19 10:45:00 PM,4.36,8.40,,,,,
121,07/13/19 11:00:00 PM,4.31,8.34,,,,,
122,07/13/19 11:15:00 PM,4.28,8.28,,,,,
123,07/13/19 11:30:00 PM,4.26,8.24,,,,,
124,07/13/19 11:45:00 PM,4.26,8.14,,,,,
125,07/14/19 12:00:00 AM,4.24,8.06,,,,,
126,07/14/19 12:15:00 AM,4.22,7.98,,,,,
127,07/14/19 12:30:00 AM,4.21,7.90,,,,,
128,07/14/19 12:45:00 AM,4.22,7.82,,,,,
129,07/14/19 01:00:00 AM,4.24,7.70,,,,,
130,07/14/19 01:15:00 AM,4.24,7.64,,,,,
131,07/14/19 01:30:00 AM,4.24,7.56,,,,,
132,07/14/19 01:45:00 AM,4.24,7.50,,,,,
133,07/14/19 02:00:00 AM,4.21,7.46,,,,,
134,07/14/19 02:15:00 AM,4.19,7.42,,,,,
135,07/14/19 02:30:00 AM,4.17,7.40,,,,,
136,07/14/19 02:45:00 AM,4.15,7.36,,,,,
137,07/14/19 03:00:00 AM,4.13,7.34,,,,,
138,07/14/19 03:15:00 AM,4.12,7.30,,,,,
139,07/14/19 03:30:00 AM,4.11,7.26,,,,,
140,07/14/19 03:45:00 AM,4.15,7.20,,,,,
141,07/14/19 04:00:00 AM,4.16,7.16,,,,,
142,07/14/19 04:15:00 AM,4.21,7.12,,,,,
143,07/14/19 04:30:00 AM,4.22,7.06,,,,,
144,07/14/19 04:45:00 AM,4.24,7.00,,,,,
145,07/14/19 05:00:00 AM,4.27,6.94,,,,,
146,07/14/19 05:15:00 AM,4.28,6.86,,,,,
147,07/14/19 05:30:00 AM,4.26,6.82,,,,,
148,07/14/19 05:45:00 AM,4.26,6.76,,,,,
149,07/14/19 06:00:00 AM,4.26,6.70,,,,,
150,07/14/19 06:15:00 AM,4.27,6.64,,,,,
151,07/14/19 06:30:00 AM,4.32,6.58,,,,,
152,07/14/19 06:45:00 AM,4.33,6.54,,,,,
153,07/14/19 07:00:00 AM,4.33,6.52,,,,,
154,07/14/19 07:15:00 AM,4.37,6.50,,,,,
155,07/14/19 07:30:00 AM,4.44,6.54,,,,,
156,07/14/19 07:45:00 AM,4.56,6.54,,,,,
157,07/14/19 08:00:00 AM,4.85,6.46,,,,,
158,07/14/19 08:15:00 AM,5.09,6.38,,,,,
159,07/14/19 08:30:00 AM,5.25,6.38,,,,,
160,07/14/19 08:45:00 AM,5.37,6.34,,,,,
161,07/14/19 09:00:00 AM,5.50,6.26,,,,,
162,07/14/19 09:15:00 AM,5.63,6.08,,,,,
163,07/14/19 09:30:00 AM,5.78,5.98,,,,,
164,07/14/19 09:45:00 AM,5.93,6.08,,,,,
165,07/14/19 10:00:00 AM,6.07,6.20,,,,,
166,07/14/19 10:15:00 AM,6.20,6.18,,,,,
167,07/14/19 10:30:00 AM,6.32,6.24,,,,,
168,07/14/19 10:45:00 AM,6.43,6.40,,,,,
169,07/14/19 11:00:00 AM,6.49,6.54,,,,,
170,07/14/19 11:15:00 AM,6.61,6.64,,,,,
171,07/14/19 11:30:00 AM,6.70,6.68,,,,,
172,07/14/19 11:45:00 AM,6.80,6.64,,,,,
173,07/14/19 12:00:00 PM,6.88,6.80,,,,,
174,07/14/19 12:15:00 PM,6.93,6.98,,,,,
175,07/14/19 12:30:00 PM,6.97,7.06,,,,,
176,07/14/19 12:45:00 PM,7.03,7.14,,,,,
177,07/14/19 01:00:00 PM,7.06,7.18,,,,,
178,07/14/19 01:15:00 PM,7.10,7.12,,,,,
179,07/14/19 01:30:00 PM,7.14,7.12,,,,,
180,07/14/19 01:45:00 PM,7.15,7.12,,,,,
181,07/14/19 02:00:00 PM,7.15,7.08,,,,,
182,07/14/19 02:15:00 PM,7.13,7.04,,,,,
183,07/14/19 02:30:00 PM,7.13,7.02,,,,,
184,07/14/19 02:45:00 PM,7.13,7.00,,,,,
185,07/14/19 03:00:00 PM,7.15,7.04,,,,,
186,07/14/19 03:15:00 PM,7.13,7.08,,,,,
187,07/14/19 03:30:00 PM,7.11,7.04,,,,,
188,07/14/19 03:45:00 PM,7.08,7.00,,,,,
189,07/14/19 04:00:00 PM,7.06,6.96,,,,,
190,07/14/19 04:15:00 PM,7.03,6.90,,,,,
191,07/14/19 04:30:00 PM,7.01,6.84,,,,,
192,07/14/19 04:45:00 PM,6.97,6.80,,,,,
193,07/14/19 05:00:00 PM,6.92,6.76,,,,,
194,07/14/19 05:15:00 PM,6.87,6.68,,,,,
195,07/14/19 05:30:00 PM,6.82,6.62,,,,,
196,07/14/19 05:45:00 PM,6.75,6.54,,,,,
197,07/14/19 06:00:00 PM,6.71,6.40,,,,,
198,07/14/19 06:15:00 PM,6.63,6.30,,,,,
199,07/14/19 06:30:00 PM,6.52,6.22,,,,,
200,07/14/19 06:45:00 PM,6.43,6.14,,,,,
201,07/14/19 07:00:00 PM,6.35,6.06,,,,,
202,07/14/19 07:15:00 PM,6.28,6.00,,,,,
203,07/14/19 07:30:00 PM,6.23,5.92,,,,,
204,07/14/19 07:45:00 PM,6.17,5.86,,,,,
205,07/14/19 08:00:00 PM,6.10,5.80,,,,,
206,07/14/19 08:15:00 PM,6.05,5.76,,,,,
207,07/14/19 08:30:00 PM,5.98,5.72,,,,,
208,07/14/19 08:45:00 PM,5.92,5.68,,,,,
209,07/14/19 09:00:00 PM,5.86,5.64,,,,,
210,07/14/19 09:15:00 PM,5.83,5.58,,,,,
211,07/14/19 09:30:00 PM,5.79,5.54,,,,,
212,07/14/19 09:45:00 PM,5.77,5.50,,,,,
213,07/14/19 10:00:00 PM,5.77,5.44,,,,,
214,07/14/19 10:15:00 PM,5.73,5.40,,,,,
215,07/14/19 10:30:00 PM,5.69,5.38,,,,,
216,07/14/19 10:45:00 PM,5.68,5.32,,,,,
217,07/14/19 11:00:00 PM,5.67,5.26,,,,,
218,07/14/19 11:15:00 PM,5.63,5.24,,,,,
219,07/14/19 11:30:00 PM,5.62,5.22,,,,,
220,07/14/19 11:45:00 PM,5.59,5.18,,,,,
221,07/15/19 12:00:00 AM,5.56,5.14,,,,,
222,07/15/19 12:15:00 AM,5.56,5.10,,,,,
223,07/15/19 12:30:00 AM,5.52,5.08,,,,,
224,07/15/19 12:45:00 AM,5.54,5.04,,,,,
225,07/15/19 01:00:00 AM,5.59,4.98,,,,,
226,07/15/19 01:15:00 AM,5.63,4.88,,,,,
227,07/15/19 01:30:00 AM,5.58,4.84,,,,,
228,07/15/19 01:45:00 AM,5.54,4.84,,,,,
229,07/15/19 02:00:00 AM,5.50,4.82,,,,,
230,07/15/19 02:15:00 AM,5.55,4.78,,,,,
231,07/15/19 02:30:00 AM,5.53,4.74,,,,,
232,07/15/19 02:45:00 AM,5.52,4.74,,,,,
233,07/15/19 03:00:00 AM,5.51,4.70,,,,,
234,07/15/19 03:15:00 AM,5.56,4.64,,,,,
235,07/15/19 03:30:00 AM,5.63,4.48,,,,,
236,07/15/19 03:45:00 AM,5.59,4.48,,,,,
237,07/15/19 04:00:00 AM,5.58,4.48,,,,,
238,07/15/19 04:15:00 AM,5.57,4.46,,,,,
239,07/15/19 04:30:00 AM,5.55,4.46,,,,,
240,07/15/19 04:45:00 AM,5.53,4.46,,,,,
241,07/15/19 05:00:00 AM,5.53,4.42,,,,,
242,07/15/19 05:15:00 AM,5.54,4.40,,,,,
243,07/15/19 05:30:00 AM,5.55,4.36,,,,,
244,07/15/19 05:45:00 AM,5.57,4.28,,,,,
245,07/15/19 06:00:00 AM,5.58,4.24,,,,,
246,07/15/19 06:15:00 AM,5.59,4.20,,,,,
247,07/15/19 06:30:00 AM,5.59,4.20,,,,,
248,07/15/19 06:45:00 AM,5.64,4.18,,,,,
249,07/15/19 07:00:00 AM,5.67,4.20,,,,,
250,07/15/19 07:15:00 AM,5.74,4.20,,,,,
251,07/15/19 07:30:00 AM,5.84,4.22,,,,,
252,07/15/19 07:45:00 AM,5.90,4.28,,,,,
253,07/15/19 08:00:00 AM,6.00,4.30,,,,,
254,07/15/19 08:15:00 AM,6.10,4.34,,,,,
255,07/15/19 08:30:00 AM,6.21,4.40,,,,,
256,07/15/19 08:45:00 AM,6.29,4.46,,,,,
257,07/15/19 09:00:00 AM,6.37,4.60,,,,,
258,07/15/19 09:15:00 AM,6.44,4.74,,,,,
259,07/15/19 09:30:00 AM,6.49,4.82,,,,,
260,07/15/19 09:45:00 AM,6.59,4.84,,,,,
261,07/15/19 10:00:00 AM,6.68,4.88,,,,,
262,07/15/19 10:15:00 AM,6.82,4.88,,,,,
263,07/15/19 10:30:00 AM,6.92,4.92,,,,,
264,07/15/19 10:45:00 AM,6.99,4.94,,,,,
265,07/15/19 11:00:00 AM,7.03,5.06,,,,,
266,07/15/19 11:15:00 AM,7.05,5.18,,,,,
267,07/15/19 11:30:00 AM,7.07,5.32,,,,,
268,07/15/19 11:30:54 AM,,,Logged,,,,
269,07/15/19 11:31:06 AM,,,,Logged,,,
270,07/15/19 11:31:32 AM,,,,,Logged,,
271,07/15/19 11:45:00 AM,7.12,5.44,,,,,
272,07/15/19 12:00:00 PM,7.16,5.68,,,,,
273,07/15/19 12:15:00 PM,7.22,5.94,,,,,
274,07/15/19 12:30:00 PM,7.21,6.18,,,,,
275,07/15/19 12:45:00 PM,7.22,6.18,,,,,
276,07/15/19 01:00:00 PM,7.25,6.06,,,,,
277,07/15/19 01:15:00 PM,7.31,6.06,,,,,
278,07/15/19 01:30:00 PM,7.32,6.20,,,,,
279,07/15/19 01:45:00 PM,7.34,6.40,,,,,
280,07/15/19 02:00:00 PM,7.35,6.68,,,,,
281,07/15/19 02:15:00 PM,7.30,6.68,,,,,
282,07/15/19 02:30:00 PM,7.33,6.76,,,,,
283,07/15/19 02:45:00 PM,7.32,6.94,,,,,
284,07/15/19 03:00:00 PM,7.32,7.08,,,,,
285,07/15/19 03:15:00 PM,7.29,7.14,,,,,
286,07/15/19 03:30:00 PM,7.29,7.14,,,,,
287,07/15/19 03:45:00 PM,7.30,7.28,,,,,
288,07/15/19 04:00:00 PM,7.27,7.38,,,,,
289,07/15/19 04:15:00 PM,7.26,7.42,,,,,
290,07/15/19 04:30:00 PM,7.23,7.42,,,,,
291,07/15/19 04:45:00 PM,7.23,7.44,,,,,
292,07/15/19 05:00:00 PM,7.22,7.56,,,,,
293,07/15/19 05:15:00 PM,7.15,7.60,,,,,
294,07/15/19 05:30:00 PM,7.09,7.48,,,,,
295,07/15/19 05:45:00 PM,7.03,7.36,,,,,
296,07/15/19 06:00:00 PM,7.01,7.26,,,,,
297,07/15/19 06:15:00 PM,6.93,7.12,,,,,
298,07/15/19 06:30:00 PM,6.84,6.98,,,,,
299,07/15/19 06:45:00 PM,6.72,6.82,,,,,
300,07/15/19 07:00:00 PM,6.64,6.66,,,,,
301,07/15/19 07:15:00 PM,6.54,6.58,,,,,
302,07/15/19 07:30:00 PM,6.44,6.48,,,,,
303,07/15/19 07:45:00 PM,6.35,6.34,,,,,
304,07/15/19 08:00:00 PM,6.28,6.24,,,,,
305,07/15/19 08:15:00 PM,6.20,6.12,,,,,
306,07/15/19 08:30:00 PM,6.12,5.96,,,,,
307,07/15/19 08:45:00 PM,6.07,5.78,,,,,
308,07/15/19 09:00:00 PM,6.01,5.62,,,,,
309,07/15/19 09:15:00 PM,5.96,5.54,,,,,
310,07/15/19 09:30:00 PM,5.91,5.44,,,,,
311,07/15/19 09:45:00 PM,5.86,5.30,,,,,
312,07/15/19 10:00:00 PM,5.82,5.16,,,,,
313,07/15/19 10:15:00 PM,5.78,5.02,,,,,
314,07/15/19 10:30:00 PM,5.75,4.88,,,,,
315,07/15/19 10:45:00 PM,5.73,4.76,,,,,
316,07/15/19 11:00:00 PM,5.70,4.70,,,,,
317,07/15/19 11:15:00 PM,5.67,4.64,,,,,
318,07/15/19 11:30:00 PM,5.64,4.64,,,,,
319,07/15/19 11:45:00 PM,5.61,4.62,,,,,
320,07/16/19 12:00:00 AM,5.59,4.60,,,,,
321,07/16/19 12:15:00 AM,5.56,4.58,,,,,
322,07/16/19 12:30:00 AM,5.54,4.52,,,,,
323,07/16/19 12:45:00 AM,5.52,4.48,,,,,
324,07/16/19 01:00:00 AM,5.51,4.42,,,,,
325,07/16/19 01:15:00 AM,5.49,4.36,,,,,
326,07/16/19 01:30:00 AM,5.48,4.28,,,,,
327,07/16/19 01:45:00 AM,5.48,4.22,,,,,
328,07/16/19 02:00:00 AM,5.48,4.14,,,,,
329,07/16/19 02:15:00 AM,5.48,4.08,,,,,
330,07/16/19 02:30:00 AM,5.47,4.00,,,,,
331,07/16/19 02:45:00 AM,5.45,3.94,,,,,
332,07/16/19 03:00:00 AM,5.45,3.88,,,,,
333,07/16/19 03:15:00 AM,5.44,3.84,,,,,
334,07/16/19 03:30:00 AM,5.44,3.78,,,,,
335,07/16/19 03:45:00 AM,5.44,3.72,,,,,
336,07/16/19 04:00:00 AM,5.44,3.68,,,,,
337,07/16/19 04:15:00 AM,5.44,3.64,,,,,
338,07/16/19 04:30:00 AM,5.44,3.58,,,,,
339,07/16/19 04:45:00 AM,5.44,3.52,,,,,
340,07/16/19 05:00:00 AM,5.44,3.50,,,,,
341,07/16/19 05:15:00 AM,5.44,3.46,,,,,
342,07/16/19 05:30:00 AM,5.45,3.46,,,,,
343,07/16/19 05:45:00 AM,5.45,3.42,,,,,
344,07/16/19 06:00:00 AM,5.47,3.40,,,,,
345,07/16/19 06:15:00 AM,5.47,3.40,,,,,
346,07/16/19 06:30:00 AM,5.47,3.40,,,,,
347,07/16/19 06:45:00 AM,5.47,3.42,,,,,
348,07/16/19 07:00:00 AM,5.51,3.44,,,,,
349,07/16/19 07:15:00 AM,5.55,3.46,,,,,
350,07/16/19 07:30:00 AM,5.61,3.50,,,,,
351,07/16/19 07:45:00 AM,5.67,3.54,,,,,
352,07/16/19 08:00:00 AM,5.72,3.56,,,,,
353,07/16/19 08:15:00 AM,5.78,3.58,,,,,
354,07/16/19 08:30:00 AM,5.86,3.64,,,,,
355,07/16/19 08:45:00 AM,5.96,3.72,,,,,
356,07/16/19 09:00:00 AM,6.09,3.88,,,,,
357,07/16/19 09:15:00 AM,6.21,4.16,,,,,
358,07/16/19 09:30:00 AM,6.30,4.46,,,,,
359,07/16/19 09:45:00 AM,6.36,4.68,,,,,
360,07/16/19 10:00:00 AM,6.42,4.78,,,,,
361,07/16/19 10:15:00 AM,6.47,4.90,,,,,
362,07/16/19 10:30:00 AM,6.51,4.96,,,,,
363,07/16/19 10:45:00 AM,6.56,5.00,,,,,
364,07/16/19 11:00:00 AM,6.62,5.08,,,,,
365,07/16/19 11:15:00 AM,6.69,5.22,,,,,
366,07/16/19 11:30:00 AM,6.76,5.46,,,,,
367,07/16/19 11:45:00 AM,6.83,5.94,,,,,
368,07/16/19 12:00:00 PM,6.83,6.28,,,,,
369,07/16/19 12:15:00 PM,6.81,6.30,,,,,
370,07/16/19 12:30:00 PM,6.82,6.24,,,,,
371,07/16/19 12:45:00 PM,6.84,6.28,,,,,
372,07/16/19 01:00:00 PM,6.89,6.34,,,,,
373,07/16/19 01:15:00 PM,6.94,6.56,,,,,
374,07/16/19 01:30:00 PM,6.96,6.82,,,,,
375,07/16/19 01:34:09 PM,,,Logged,,,,
376,07/16/19 01:34:17 PM,,,,Logged,,,
377,07/16/19 01:35:15 PM,,,,,Logged,,
378,07/16/19 01:45:00 PM,6.90,7.30,,,,,
379,07/16/19 02:00:00 PM,6.99,7.26,,,,,
380,07/16/19 02:15:00 PM,6.97,7.32,,,,,
381,07/16/19 02:30:00 PM,6.97,7.34,,,,,
382,07/16/19 02:45:00 PM,7.00,7.36,,,,,
383,07/16/19 03:00:00 PM,7.02,7.64,,,,,
384,07/16/19 03:15:00 PM,7.04,7.90,,,,,
385,07/16/19 03:30:00 PM,7.03,8.16,,,,,
386,07/16/19 03:45:00 PM,7.02,8.40,,,,,
387,07/16/19 04:00:00 PM,7.00,8.60,,,,,
388,07/16/19 04:15:00 PM,6.99,8.72,,,,,
389,07/16/19 04:30:00 PM,6.95,8.80,,,,,
390,07/16/19 04:45:00 PM,6.91,8.72,,,,,
391,07/16/19 05:00:00 PM,6.89,8.62,,,,,
392,07/16/19 05:15:00 PM,6.86,8.48,,,,,
393,07/16/19 05:30:00 PM,6.81,8.30,,,,,
394,07/16/19 05:45:00 PM,6.77,8.14,,,,,
395,07/16/19 06:00:00 PM,6.74,7.98,,,,,
396,07/16/19 06:15:00 PM,6.68,7.80,,,,,
397,07/16/19 06:30:00 PM,6.57,7.64,,,,,
398,07/16/19 06:45:00 PM,6.46,7.46,,,,,
399,07/16/19 07:00:00 PM,6.36,7.32,,,,,
400,07/16/19 07:15:00 PM,6.28,7.18,,,,,
401,07/16/19 07:30:00 PM,6.20,7.08,,,,,
402,07/16/19 07:45:00 PM,6.11,6.98,,,,,
403,07/16/19 08:00:00 PM,6.04,6.90,,,,,
404,07/16/19 08:15:00 PM,5.97,6.82,,,,,
405,07/16/19 08:30:00 PM,5.92,6.74,,,,,
406,07/16/19 08:45:00 PM,5.87,6.66,,,,,
407,07/16/19 09:00:00 PM,5.82,6.56,,,,,
408,07/16/19 09:15:00 PM,5.76,6.48,,,,,
409,07/16/19 09:30:00 PM,5.72,6.42,,,,,
410,07/16/19 09:45:00 PM,5.67,6.34,,,,,
411,07/16/19 10:00:00 PM,5.63,6.26,,,,,
412,07/16/19 10:15:00 PM,5.58,6.22,,,,,
413,07/16/19 10:30:00 PM,5.54,6.16,,,,,
414,07/16/19 10:45:00 PM,5.49,6.12,,,,,
415,07/16/19 11:00:00 PM,5.46,6.08,,,,,
416,07/16/19 11:15:00 PM,5.42,6.04,,,,,
417,07/16/19 11:30:00 PM,5.39,5.98,,,,,
418,07/16/19 11:45:00 PM,5.37,5.92,,,,,
419,07/17/19 12:00:00 AM,5.34,5.86,,,,,
420,07/17/19 12:15:00 AM,5.32,5.82,,,,,
421,07/17/19 12:30:00 AM,5.31,5.76,,,,,
422,07/17/19 12:45:00 AM,5.29,5.72,,,,,
423,07/17/19 01:00:00 AM,5.27,5.70,,,,,
424,07/17/19 01:15:00 AM,5.25,5.68,,,,,
425,07/17/19 01:30:00 AM,5.23,5.66,,,,,
426,07/17/19 01:45:00 AM,5.20,5.62,,,,,
427,07/17/19 02:00:00 AM,5.18,5.58,,,,,
428,07/17/19 02:15:00 AM,5.16,5.54,,,,,
429,07/17/19 02:30:00 AM,5.14,5.50,,,,,
430,07/17/19 02:45:00 AM,5.12,5.46,,,,,
431,07/17/19 03:00:00 AM,5.11,5.42,,,,,
432,07/17/19 03:15:00 AM,5.09,5.38,,,,,
433,07/17/19 03:30:00 AM,5.07,5.36,,,,,
434,07/17/19 03:45:00 AM,5.05,5.32,,,,,
435,07/17/19 04:00:00 AM,5.05,5.30,,,,,
436,07/17/19 04:15:00 AM,5.03,5.26,,,,,
437,07/17/19 04:30:00 AM,5.02,5.24,,,,,
438,07/17/19 04:45:00 AM,4.99,5.20,,,,,
439,07/17/19 05:00:00 AM,4.97,5.16,,,,,
440,07/17/19 05:15:00 AM,4.95,5.14,,,,,
441,07/17/19 05:30:00 AM,4.94,5.08,,,,,
442,07/17/19 05:45:00 AM,4.93,5.04,,,,,
443,07/17/19 06:00:00 AM,4.92,5.00,,,,,
444,07/17/19 06:15:00 AM,4.90,4.98,,,,,
445,07/17/19 06:30:00 AM,4.89,4.96,,,,,
446,07/17/19 06:45:00 AM,4.90,4.96,,,,,
447,07/17/19 07:00:00 AM,4.93,4.96,,,,,
448,07/17/19 07:15:00 AM,4.99,4.98,,,,,
449,07/17/19 07:30:00 AM,5.09,5.02,,,,,
450,07/17/19 07:45:00 AM,5.17,5.08,,,,,
451,07/17/19 08:00:00 AM,5.28,5.14,,,,,
452,07/17/19 08:15:00 AM,5.36,5.20,,,,,
453,07/17/19 08:30:00 AM,5.46,5.26,,,,,
454,07/17/19 08:45:00 AM,5.54,5.34,,,,,
