"","PosixCT","X12CO2","Delta_Raw_iCO2","Sample","Day"
"59210",2019-08-09 14:41:44,396.203448,-18.271684364,"ecu1","Aug09"
"59211",2019-08-09 14:41:45,396.31151914,-18.271684364,"ecu1","Aug09"
"59212",2019-08-09 14:41:45,396.31151914,-23.002086678,"ecu1","Aug09"
"59213",2019-08-09 14:41:47,396.31151914,-23.002086678,"ecu1","Aug09"
"59214",2019-08-09 14:41:48,396.31151914,-23.002086678,"ecu1","Aug09"
"59215",2019-08-09 14:41:48,396.46473212,-23.002086678,"ecu1","Aug09"
"59216",2019-08-09 14:41:49,396.46473212,-20.648663161,"ecu1","Aug09"
"59217",2019-08-09 14:41:50,396.46473212,-20.648663161,"ecu1","Aug09"
"59218",2019-08-09 14:41:51,396.46473212,-20.648663161,"ecu1","Aug09"
"59219",2019-08-09 14:41:52,396.07369848,-20.648663161,"ecu1","Aug09"
"59220",2019-08-09 14:41:52,396.07369848,-20.539634002,"ecu1","Aug09"
"59221",2019-08-09 14:41:54,396.07369848,-20.539634002,"ecu1","Aug09"
"59222",2019-08-09 14:41:55,396.07369848,-20.539634002,"ecu1","Aug09"
"59223",2019-08-09 14:41:55,395.93399844,-20.539634002,"ecu1","Aug09"
"59224",2019-08-09 14:41:56,395.93399844,-20.40235653,"ecu1","Aug09"
"59225",2019-08-09 14:41:57,395.93399844,-20.40235653,"ecu1","Aug09"
"59226",2019-08-09 14:41:58,395.93399844,-20.40235653,"ecu1","Aug09"
"59227",2019-08-09 14:41:59,396.05879698,-20.40235653,"ecu1","Aug09"
"59228",2019-08-09 14:41:59,396.05879698,-19.00672704,"ecu1","Aug09"
"59229",2019-08-09 14:42:01,396.05879698,-19.00672704,"ecu1","Aug09"
"59230",2019-08-09 14:42:02,396.05879698,-19.00672704,"ecu1","Aug09"
"59231",2019-08-09 14:42:02,395.82489494,-19.00672704,"ecu1","Aug09"
"59232",2019-08-09 14:42:03,395.82489494,-23.243541918,"ecu1","Aug09"
"59233",2019-08-09 14:42:04,395.82489494,-23.243541918,"ecu1","Aug09"
"59234",2019-08-09 14:42:05,395.82489494,-23.243541918,"ecu1","Aug09"
"59235",2019-08-09 14:42:06,395.56880493,-23.243541918,"ecu1","Aug09"
"59236",2019-08-09 14:42:07,395.56880493,-20.916503041,"ecu1","Aug09"
"59237",2019-08-09 14:42:08,395.56880493,-20.916503041,"ecu1","Aug09"
"59238",2019-08-09 14:42:09,395.56880493,-20.916503041,"ecu1","Aug09"
"59239",2019-08-09 14:42:10,395.54851264,-20.916503041,"ecu1","Aug09"
"59240",2019-08-09 14:42:10,395.54851264,-23.962660186,"ecu1","Aug09"
"59241",2019-08-09 14:42:11,395.54851264,-23.962660186,"ecu1","Aug09"
"59242",2019-08-09 14:42:12,395.54851264,-23.962660186,"ecu1","Aug09"
"59243",2019-08-09 14:42:13,395.08370048,-23.962660186,"ecu1","Aug09"
"59244",2019-08-09 14:42:14,395.08370048,-20.298120155,"ecu1","Aug09"
"59245",2019-08-09 14:42:15,395.08370048,-20.298120155,"ecu1","Aug09"
"59246",2019-08-09 14:42:16,395.08370048,-20.298120155,"ecu1","Aug09"
"59247",2019-08-09 14:42:17,395.35355036,-20.298120155,"ecu1","Aug09"
"59248",2019-08-09 14:42:17,395.35355036,-19.863922587,"ecu1","Aug09"
"59249",2019-08-09 14:42:18,395.35355036,-19.863922587,"ecu1","Aug09"
"59250",2019-08-09 14:42:19,395.35355036,-19.863922587,"ecu1","Aug09"
"59251",2019-08-09 14:42:20,395.02876725,-19.863922587,"ecu1","Aug09"
"59252",2019-08-09 14:42:21,395.02876725,-17.482125987,"ecu1","Aug09"
"59253",2019-08-09 14:42:22,395.02876725,-17.482125987,"ecu1","Aug09"
"59254",2019-08-09 14:42:23,395.02876725,-17.482125987,"ecu1","Aug09"
"59255",2019-08-09 14:42:24,395.34885746,-17.482125987,"ecu1","Aug09"
"59256",2019-08-09 14:42:24,395.34885746,-19.451365911,"ecu1","Aug09"
"59257",2019-08-09 14:42:25,395.34885746,-19.451365911,"ecu1","Aug09"
"59258",2019-08-09 14:42:26,395.34885746,-19.451365911,"ecu1","Aug09"
"59259",2019-08-09 14:42:27,394.66404076,-19.451365911,"ecu1","Aug09"
"59260",2019-08-09 14:42:28,394.66404076,-21.152161108,"ecu1","Aug09"
"59261",2019-08-09 14:42:29,394.66404076,-21.152161108,"ecu1","Aug09"
"59262",2019-08-09 14:42:30,394.66404076,-21.152161108,"ecu1","Aug09"
"59263",2019-08-09 14:42:31,395.17684321,-21.152161108,"ecu1","Aug09"
"59264",2019-08-09 14:42:31,395.17684321,-21.605196815,"ecu1","Aug09"
"59265",2019-08-09 14:42:32,395.17684321,-21.605196815,"ecu1","Aug09"
"59266",2019-08-09 14:42:34,395.17684321,-21.605196815,"ecu1","Aug09"
"59267",2019-08-09 14:42:34,394.52528972,-21.605196815,"ecu1","Aug09"
"59268",2019-08-09 14:42:35,394.52528972,-20.757207856,"ecu1","Aug09"
"59269",2019-08-09 14:42:36,394.52528972,-20.757207856,"ecu1","Aug09"
"59270",2019-08-09 14:42:37,394.52528972,-20.757207856,"ecu1","Aug09"
"59271",2019-08-09 14:42:38,394.46534928,-20.757207856,"ecu1","Aug09"
"59272",2019-08-09 14:42:38,394.46534928,-19.566742233,"ecu1","Aug09"
"59273",2019-08-09 14:42:39,394.46534928,-19.566742233,"ecu1","Aug09"
"59274",2019-08-09 14:42:41,394.46534928,-19.566742233,"ecu1","Aug09"
"59275",2019-08-09 14:42:41,394.7490528,-19.566742233,"ecu1","Aug09"
"59276",2019-08-09 14:42:42,394.7490528,-18.10151236,"ecu1","Aug09"
"59277",2019-08-09 14:42:43,394.7490528,-18.10151236,"ecu1","Aug09"
"59278",2019-08-09 14:42:44,394.7490528,-18.10151236,"ecu1","Aug09"
"59279",2019-08-09 14:42:45,394.73545311,-18.10151236,"ecu1","Aug09"
"59280",2019-08-09 14:42:45,394.73545311,-21.243837235,"ecu1","Aug09"
"59281",2019-08-09 14:42:46,394.73545311,-21.243837235,"ecu1","Aug09"
"59282",2019-08-09 14:42:47,394.73545311,-21.243837235,"ecu1","Aug09"
"59283",2019-08-09 14:42:48,394.1558878,-21.243837235,"ecu1","Aug09"
"59284",2019-08-09 14:42:49,394.1558878,-20.146232743,"ecu1","Aug09"
"59285",2019-08-09 14:42:50,394.1558878,-20.146232743,"ecu1","Aug09"
"59286",2019-08-09 14:42:51,394.1558878,-20.146232743,"ecu1","Aug09"
"65344",2019-08-09 16:11:27,2493.2283376,-23.683262011,"ecu2","Aug09"
"65345",2019-08-09 16:11:28,2493.2283376,-23.683262011,"ecu2","Aug09"
"65346",2019-08-09 16:11:29,2493.2283376,-23.683262011,"ecu2","Aug09"
"65347",2019-08-09 16:11:29,3185.4176505,-23.683262011,"ecu2","Aug09"
"65348",2019-08-09 16:11:30,3185.4176505,-24.059086474,"ecu2","Aug09"
"65349",2019-08-09 16:11:31,3185.4176505,-24.059086474,"ecu2","Aug09"
"65350",2019-08-09 16:11:32,3185.4176505,-24.059086474,"ecu2","Aug09"
"65351",2019-08-09 16:11:33,3620.2031219,-24.059086474,"ecu2","Aug09"
"65352",2019-08-09 16:11:33,3620.2031219,-23.779888544,"ecu2","Aug09"
"65353",2019-08-09 16:11:35,3620.2031219,-23.779888544,"ecu2","Aug09"
"65354",2019-08-09 16:11:36,3620.2031219,-23.779888544,"ecu2","Aug09"
"65355",2019-08-09 16:11:36,3725.687554,-23.779888544,"ecu2","Aug09"
"65356",2019-08-09 16:11:37,3725.687554,-22.749153121,"ecu2","Aug09"
"65357",2019-08-09 16:11:38,3725.687554,-22.749153121,"ecu2","Aug09"
"65358",2019-08-09 16:11:39,3725.687554,-22.749153121,"ecu2","Aug09"
"65359",2019-08-09 16:11:40,3699.5859091,-22.749153121,"ecu2","Aug09"
"65360",2019-08-09 16:11:40,3699.5859091,-22.940524126,"ecu2","Aug09"
"65361",2019-08-09 16:11:42,3699.5859091,-22.940524126,"ecu2","Aug09"
"65362",2019-08-09 16:11:43,3699.5859091,-22.940524126,"ecu2","Aug09"
"65363",2019-08-09 16:11:44,3740.6312743,-22.940524126,"ecu2","Aug09"
"65364",2019-08-09 16:11:44,3740.6312743,-23.768588055,"ecu2","Aug09"
"65365",2019-08-09 16:11:45,3740.6312743,-23.768588055,"ecu2","Aug09"
"65366",2019-08-09 16:11:47,3740.6312743,-23.768588055,"ecu2","Aug09"
"65367",2019-08-09 16:11:47,3780.7664975,-23.768588055,"ecu2","Aug09"
"65368",2019-08-09 16:11:48,3780.7664975,-24.037092216,"ecu2","Aug09"
"65369",2019-08-09 16:11:49,3780.7664975,-24.037092216,"ecu2","Aug09"
"65370",2019-08-09 16:11:50,3780.7664975,-24.037092216,"ecu2","Aug09"
"65371",2019-08-09 16:11:51,3777.6198129,-24.037092216,"ecu2","Aug09"
"65372",2019-08-09 16:11:51,3777.6198129,-24.483615088,"ecu2","Aug09"
"65373",2019-08-09 16:11:52,3777.6198129,-24.483615088,"ecu2","Aug09"
"65374",2019-08-09 16:11:54,3777.6198129,-24.483615088,"ecu2","Aug09"
"65375",2019-08-09 16:11:54,3680.7963227,-24.483615088,"ecu2","Aug09"
"65376",2019-08-09 16:11:55,3680.7963227,-23.226224473,"ecu2","Aug09"
"65377",2019-08-09 16:11:56,3680.7963227,-23.226224473,"ecu2","Aug09"
"65378",2019-08-09 16:11:57,3680.7963227,-23.226224473,"ecu2","Aug09"
"65379",2019-08-09 16:11:58,3448.5115035,-23.226224473,"ecu2","Aug09"
"65380",2019-08-09 16:11:58,3448.5115035,-23.64081016,"ecu2","Aug09"
"65381",2019-08-09 16:11:59,3448.5115035,-23.64081016,"ecu2","Aug09"
"65382",2019-08-09 16:12:01,3448.5115035,-23.64081016,"ecu2","Aug09"
"65383",2019-08-09 16:12:01,3079.6313357,-23.64081016,"ecu2","Aug09"
"65384",2019-08-09 16:12:02,3079.6313357,-22.780743982,"ecu2","Aug09"
"65385",2019-08-09 16:12:03,3079.6313357,-22.780743982,"ecu2","Aug09"
"65386",2019-08-09 16:12:04,3079.6313357,-22.780743982,"ecu2","Aug09"
"65387",2019-08-09 16:12:05,2646.1306877,-22.780743982,"ecu2","Aug09"
"65388",2019-08-09 16:12:05,2646.1306877,-22.83280625,"ecu2","Aug09"
"65389",2019-08-09 16:12:06,2646.1306877,-22.83280625,"ecu2","Aug09"
"65390",2019-08-09 16:12:08,2646.1306877,-22.83280625,"ecu2","Aug09"
"65391",2019-08-09 16:12:08,2214.9517458,-22.83280625,"ecu2","Aug09"
"65392",2019-08-09 16:12:09,2214.9517458,-21.845078997,"ecu2","Aug09"
"65393",2019-08-09 16:12:10,2214.9517458,-21.845078997,"ecu2","Aug09"
"65394",2019-08-09 16:12:11,2214.9517458,-21.845078997,"ecu2","Aug09"
"65395",2019-08-09 16:12:12,1833.9055642,-21.845078997,"ecu2","Aug09"
"65396",2019-08-09 16:12:12,1833.9055642,-21.178672509,"ecu2","Aug09"
"65397",2019-08-09 16:12:13,1833.9055642,-21.178672509,"ecu2","Aug09"
"65398",2019-08-09 16:12:15,1833.9055642,-21.178672509,"ecu2","Aug09"
"65399",2019-08-09 16:12:15,1519.9427881,-21.178672509,"ecu2","Aug09"
"65400",2019-08-09 16:12:16,1519.9427881,-19.521139897,"ecu2","Aug09"
"65401",2019-08-09 16:12:17,1519.9427881,-19.521139897,"ecu2","Aug09"
"65402",2019-08-09 16:12:18,1519.9427881,-19.521139897,"ecu2","Aug09"
