"Plot Title: EC Logger 2"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 20636127, SEN S/N: 20636127)","Temp, °C (LGR S/N: 20636127, SEN S/N: 20636127)","Coupler Detached (LGR S/N: 20636127)","Coupler Attached (LGR S/N: 20636127)","Host Connected (LGR S/N: 20636127)","End Of File (LGR S/N: 20636127)"
38,07/15/19 11:00:00 PM,6.7,4.79,,,,
39,07/15/19 11:15:00 PM,7.4,4.75,,,,
40,07/15/19 11:30:00 PM,7.4,4.73,,,,
41,07/15/19 11:45:00 PM,7.4,4.71,,,,
42,07/16/19 12:00:00 AM,7.4,4.70,,,,
43,07/16/19 12:15:00 AM,6.7,4.66,,,,
44,07/16/19 12:30:00 AM,6.7,4.62,,,,
45,07/16/19 12:45:00 AM,6.7,4.57,,,,
46,07/16/19 01:00:00 AM,6.7,4.51,,,,
47,07/16/19 01:15:00 AM,7.4,4.46,,,,
48,07/16/19 01:30:00 AM,7.4,4.38,,,,
49,07/16/19 01:45:00 AM,7.4,4.32,,,,
50,07/16/19 02:00:00 AM,7.4,4.24,,,,
51,07/16/19 02:15:00 AM,7.1,4.19,,,,
52,07/16/19 02:30:00 AM,7.4,4.11,,,,
53,07/16/19 02:45:00 AM,7.1,4.04,,,,
54,07/16/19 03:00:00 AM,7.4,3.98,,,,
55,07/16/19 03:15:00 AM,7.4,3.92,,,,
56,07/16/19 03:30:00 AM,7.4,3.87,,,,
57,07/16/19 03:45:00 AM,7.4,3.82,,,,
58,07/16/19 04:00:00 AM,7.4,3.75,,,,
59,07/16/19 04:15:00 AM,7.4,3.73,,,,
60,07/16/19 04:30:00 AM,7.4,3.66,,,,
61,07/16/19 04:45:00 AM,7.4,3.61,,,,
62,07/16/19 05:00:00 AM,7.4,3.58,,,,
63,07/16/19 05:15:00 AM,7.4,3.55,,,,
64,07/16/19 05:30:00 AM,6.7,3.53,,,,
65,07/16/19 05:45:00 AM,7.4,3.50,,,,
66,07/16/19 06:00:00 AM,7.4,3.49,,,,
67,07/16/19 06:15:00 AM,7.4,3.48,,,,
68,07/16/19 06:30:00 AM,7.4,3.49,,,,
69,07/16/19 06:45:00 AM,6.7,3.50,,,,
70,07/16/19 07:00:00 AM,6.7,3.51,,,,
71,07/16/19 07:15:00 AM,7.1,3.55,,,,
72,07/16/19 07:30:00 AM,7.4,3.58,,,,
73,07/16/19 07:45:00 AM,7.4,3.62,,,,
74,07/16/19 08:00:00 AM,7.4,3.63,,,,
75,07/16/19 08:15:00 AM,6.7,3.69,,,,
76,07/16/19 08:30:00 AM,6.7,3.73,,,,
77,07/16/19 08:45:00 AM,7.4,3.83,,,,
78,07/16/19 09:00:00 AM,7.4,3.99,,,,
79,07/16/19 09:15:00 AM,7.4,4.26,,,,
80,07/16/19 09:30:00 AM,7.4,4.57,,,,
81,07/16/19 09:45:00 AM,7.1,4.79,,,,
82,07/16/19 10:00:00 AM,7.4,4.90,,,,
83,07/16/19 10:15:00 AM,7.4,5.00,,,,
84,07/16/19 10:30:00 AM,7.1,5.07,,,,
85,07/16/19 10:45:00 AM,7.4,5.12,,,,
86,07/16/19 11:00:00 AM,6.7,5.19,,,,
87,07/16/19 11:15:00 AM,7.0,5.33,,,,
88,07/16/19 11:30:00 AM,7.0,5.57,,,,
89,07/16/19 11:45:00 AM,6.7,6.07,,,,
90,07/16/19 12:00:00 PM,7.0,6.41,,,,
91,07/16/19 12:15:00 PM,7.0,6.45,,,,
92,07/16/19 12:30:00 PM,7.0,6.36,,,,
93,07/16/19 12:45:00 PM,7.0,6.40,,,,
94,07/16/19 01:00:00 PM,7.4,6.49,,,,
95,07/16/19 01:15:00 PM,7.4,6.70,,,,
96,07/16/19 01:30:00 PM,7.4,6.97,,,,
97,07/16/19 01:31:02 PM,,,,Logged,,
98,07/16/19 01:31:25 PM,,,,,Logged,Logged
