k600,Vms,Qm3s,slope,depth,width,place,data1,data
952.22808,0.835,1.585,0.05901,0.328,5.782,CH,Ulseth et. al 2019,Ulseth et. al 2019
463.11755,0.565,0.597,0.05901,0.21,5.015,CH,Ulseth et. al 2019,Ulseth et. al 2019
132.22518,0.376,0.296,0.06022,0.196,4.01,CH,Ulseth et. al 2019,Ulseth et. al 2019
296.80813,0.523,0.365,0.08577,0.167,4.18,CH,Ulseth et. al 2019,Ulseth et. al 2019
96.26358,0.275,0.088,0.10138,0.086,3.711,CH,Ulseth et. al 2019,Ulseth et. al 2019
82.03408,0.252,0.07,0.10138,0.076,3.672,CH,Ulseth et. al 2019,Ulseth et. al 2019
170.1316,0.388,0.1424,0.10138,0.113,3.24,CH,Ulseth et. al 2019,Ulseth et. al 2019
111.70262,0.294,0.086,0.10138,0.108,2.709,CH,Ulseth et. al 2019,Ulseth et. al 2019
412.85853,0.415,0.157,0.11231,0.118,3.21,CH,Ulseth et. al 2019,Ulseth et. al 2019
24.68877,0.082,0.015,0.1475,0.086,2.069,CH,Ulseth et. al 2019,Ulseth et. al 2019
27.7255,0.073,0.011,0.1475,0.082,1.862,CH,Ulseth et. al 2019,Ulseth et. al 2019
29.35918,0.056,0.008,0.1475,0.101,1.384,CH,Ulseth et. al 2019,Ulseth et. al 2019
13.26811,0.065,0.004,0.05881,0.075,0.917,CH,Ulseth et. al 2019,Ulseth et. al 2019
8.10349,0.038,0.002,0.05323,0.064,0.789,CH,Ulseth et. al 2019,Ulseth et. al 2019
20.50471,0.101,0.007,0.05591,0.083,0.861,CH,Ulseth et. al 2019,Ulseth et. al 2019
25.43624,0.201,0.013,0.05591,0.065,1.025,CH,Ulseth et. al 2019,Ulseth et. al 2019
143.40659,0.574,0.591,0.03231,0.093,11.05,CH,Ulseth et. al 2019,Ulseth et. al 2019
76.49225,0.469,0.457,0.03231,0.084,11.67,CH,Ulseth et. al 2019,Ulseth et. al 2019
84.21769,0.492,0.502,0.03231,0.096,10.57,CH,Ulseth et. al 2019,Ulseth et. al 2019
144.11807,0.615,0.46,0.03331,0.145,5.18,CH,Ulseth et. al 2019,Ulseth et. al 2019
62.15799,0.512,0.305,0.03593,0.146,4.09,CH,Ulseth et. al 2019,Ulseth et. al 2019
45.22982,0.424,0.318,0.03385,0.171,4.387,CH,Ulseth et. al 2019,Ulseth et. al 2019
128.35422,0.797,0.536,0.05791,0.135,4.999,CH,Ulseth et. al 2019,Ulseth et. al 2019
178.61833,0.742,0.505,0.05791,0.137,4.96,CH,Ulseth et. al 2019,Ulseth et. al 2019
30.29072,0.341,0.093,0.06094,0.073,3.73,CH,Ulseth et. al 2019,Ulseth et. al 2019
47.74176,0.32,0.091,0.06061,0.103,2.747,CH,Ulseth et. al 2019,Ulseth et. al 2019
549.93748,0.726,0.718,0.05288,0.166,5.965,CH,Ulseth et. al 2019,Ulseth et. al 2019
576.27238,0.617,0.617,0.05288,0.204,4.905,CH,Ulseth et. al 2019,Ulseth et. al 2019
63.67406,0.809,0.344,0.05516,0.093,4.56,CH,Ulseth et. al 2019,Ulseth et. al 2019
98.98953,0.557,0.176,0.05437,0.118,2.678,CH,Ulseth et. al 2019,Ulseth et. al 2019
136.49866,0.345,0.103,0.13759,0.08,3.76,CH,Ulseth et. al 2019,Ulseth et. al 2019
690.13654,0.779,0.751,0.13759,0.171,5.625,CH,Ulseth et. al 2019,Ulseth et. al 2019
76.89549,0.119,0.022,0.13759,0.111,1.661,CH,Ulseth et. al 2019,Ulseth et. al 2019
184.40842,0.349,0.09,0.13759,0.099,2.615,CH,Ulseth et. al 2019,Ulseth et. al 2019
459.66232,0.388,0.481,0.13739,0.346,3.586,CH,Ulseth et. al 2019,Ulseth et. al 2019
2470.30119,0.694,1.658,0.13739,0.322,7.413,CH,Ulseth et. al 2019,Ulseth et. al 2019
441.67473,0.392,0.336,0.13739,0.244,3.497,CH,Ulseth et. al 2019,Ulseth et. al 2019
576.99113,0.424,0.326,0.13739,0.227,3.377,CH,Ulseth et. al 2019,Ulseth et. al 2019
412.71565,0.885,1.14,0.05529,0.159,8.1,CH,Ulseth et. al 2019,Ulseth et. al 2019
775.85053,0.901,1.189,0.05529,0.173,7.636,CH,Ulseth et. al 2019,Ulseth et. al 2019
614.77135,0.851,1.296,0.05529,0.223,6.818,CH,Ulseth et. al 2019,Ulseth et. al 2019
493.9346,0.798,0.977,0.05529,0.175,7.017,CH,Ulseth et. al 2019,Ulseth et. al 2019
115.80062,0.563,0.251,0.05982,0.109,4.098,CH,Ulseth et. al 2019,Ulseth et. al 2019
71.34678,0.654,0.23,0.05982,0.065,5.421,CH,Ulseth et. al 2019,Ulseth et. al 2019
95.28634,0.14286,0.03062,0.13759,0.11402,1.88,CH,Ulseth et. al 2019,Ulseth et. al 2019
26.96,0.07,0.04243,0.03629,0.22,2.88,Austria,Schelker et al.,Schelker et al. 2016
40.49,0.15,0.023,0.05149,0.08,2,Austria,Schelker et al.,Schelker et al. 2016
23.66,0.57,1.16,0.02763,0.25,7.96,Austria,Schelker et al.,Schelker et al. 2016
17.38,0.76,1.55,0.02763,0.22,8.89,Austria,Schelker et al.,Schelker et al. 2016
10.65,0.16,0.26,0.02763,0.24,6.28,Austria,Schelker et al.,Schelker et al. 2016
23.07,0.46,0.92,0.02763,0.24,8.36,Austria,Schelker et al.,Schelker et al. 2016
28.36,0.85,2.92,0.02763,0.27,9.93,Austria,Schelker et al.,Schelker et al. 2016
17.19,0.28,0.22094,0.00764,0.12,5.99,Austria,Schelker et al.,Schelker et al. 2016
30.41,0.93,1.60368,0.00764,0.18,8.4,Austria,Schelker et al.,Schelker et al. 2016
15.04,0.16,0.05371,0.00764,0.08,4.44,Austria,Schelker et al.,Schelker et al. 2016
20.4,0.33,0.67,0.01554,0.19,10.21,Austria,Schelker et al.,Schelker et al. 2016
20.37,0.32,0.59,0.01554,0.18,10.49,Austria,Schelker et al.,Schelker et al. 2016
16.17,0.24,0.4003,0.01382,0.23,7.11,Austria,Schelker et al.,Schelker et al. 2016
23.44,0.51,1.29,0.01382,0.3,8.23,Austria,Schelker et al.,Schelker et al. 2016
14.95,0.34,0.70131,0.01382,0.27,7.52,Austria,Schelker et al.,Schelker et al. 2016
71.19,0.36,0.25784,0.01381,0.16,4.33,Austria,Schelker et al.,Schelker et al. 2016
33.31,0.15,0.022,0.05104,0.1,1.41,Austria,Schelker et al.,Schelker et al. 2016
46.51,0.18,0.05858,0.05104,0.12,2.38,Austria,Schelker et al.,Schelker et al. 2016
29.49,0.16,0.04347,0.05104,0.12,2.1,Austria,Schelker et al.,Schelker et al. 2016
11.19,0.15,0.026,0.05104,0.12,1.41,Austria,Schelker et al.,Schelker et al. 2016
107.98,0.75,0.329,0.05104,0.17,2.48,Austria,Schelker et al.,Schelker et al. 2016
37.19,0.23,0.19845,0.03263,0.2,3.89,Austria,Schelker et al.,Schelker et al. 2016
18.21,0.25,0.0438,0.02469,0.09,1.87,Austria,Schelker et al.,Schelker et al. 2016
11.88,0.15,0.01716,0.02002,0.09,1.21,Austria,Schelker et al.,Schelker et al. 2016
15.23,0.23,0.055,0.01909,0.12,2,Austria,Schelker et al.,Schelker et al. 2016
13.72,0.25,0.06182,0.01909,0.1,2.17,Austria,Schelker et al.,Schelker et al. 2016
12.98,0.23,0.0854,0.01909,0.13,2.62,Austria,Schelker et al.,Schelker et al. 2016
8.52,0.72,0.501,0.01909,0.29,2.42,Austria,Schelker et al.,Schelker et al. 2016
30.48,0.51,0.23385,0.01909,0.19,2.37,Austria,Schelker et al.,Schelker et al. 2016
20.31,0.25,0.10783,0.0106,0.14,2.83,Austria,Schelker et al.,Schelker et al. 2016
29.47,0.22,0.06472,0.02346,0.11,2.56,Austria,Schelker et al.,Schelker et al. 2016
143.75,0.16,0.01605,0.01544,0.08,1.25,Austria,Schelker et al.,Schelker et al. 2016
20.64,0.19,0.02606,0.01544,0.08,1.6,Austria,Schelker et al.,Schelker et al. 2016
176.93,0.09,0.0139,0.02655,0.08,1.82,Austria,Schelker et al.,Schelker et al. 2016
28.55,0.18,0.0165,0.02655,0.13,1.59,Austria,Schelker et al.,Schelker et al. 2016
25.52,0.16,0.02815,0.02655,0.11,1.59,Austria,Schelker et al.,Schelker et al. 2016
21.53,0.15,0.028,0.02655,0.11,1.6,Austria,Schelker et al.,Schelker et al. 2016
75.49,0.51,0.21,0.02655,0.2,2.03,Austria,Schelker et al.,Schelker et al. 2016
19.6,0.23,0.05181,0.02655,0.11,1.97,Austria,Schelker et al.,Schelker et al. 2016
17.69,0.35,0.62,0.00728,0.25,7.11,Austria,Schelker et al.,Schelker et al. 2016
19.75,0.11,0.04103,0.10929,0.11,3.36,Austria,Schelker et al.,Schelker et al. 2016
13.48,0.24,0.0745,0.0085,0.06,4.79,Austria,Schelker et al.,Schelker et al. 2016
5.19,0.06,0.04594,0.0085,0.22,2.8,Austria,Schelker et al.,Schelker et al. 2016
39.74,0.24,0.0636,0.04319,0.1,2.66,Austria,Schelker et al.,Schelker et al. 2016
4.92,0.54,0.75,0.00173,0.27,5,Austria,Schelker et al.,Schelker et al. 2016
8.61,0.41,0.45,0.00173,0.21,4.94,Austria,Schelker et al.,Schelker et al. 2016
5.61,0.21,0.19,0.00173,0.18,4.66,Austria,Schelker et al.,Schelker et al. 2016
15.71,0.55,0.66,0.00173,0.22,5.37,Austria,Schelker et al.,Schelker et al. 2016
2.86,0.38,0.38,0.00173,0.19,5.01,Austria,Schelker et al.,Schelker et al. 2016
13.15,0.4,0.21,0.00426,0.09,4.94,Austria,Schelker et al.,Schelker et al. 2016
24.64,0.34,0.15,0.00426,0.09,4.73,Austria,Schelker et al.,Schelker et al. 2016
17.02,0.38,0.33,0.00426,0.18,4.76,Austria,Schelker et al.,Schelker et al. 2016
20.69,0.38,0.36,0.00204,0.2,4.66,Austria,Schelker et al.,Schelker et al. 2016
13.06,0.18,0.1041,0.00318,0.19,3.07,Austria,Schelker et al.,Schelker et al. 2016
29.32,0.41,0.11844,0.01125,0.1,2.74,Austria,Schelker et al.,Schelker et al. 2016
12.67,0.18,0.0338,0.01125,0.09,1.94,Austria,Schelker et al.,Schelker et al. 2016
12.2,0.35,0.092,0.01125,0.1,2.45,Austria,Schelker et al.,Schelker et al. 2016
14.1,0.5,0.20302,0.01125,0.14,2.81,Austria,Schelker et al.,Schelker et al. 2016
33.4,0.42,0.13403,0.01125,0.11,2.93,Austria,Schelker et al.,Schelker et al. 2016
9.01,0.28,0.09444,0.01125,0.12,2.61,Austria,Schelker et al.,Schelker et al. 2016
11.1,0.06,0.00294,0.10072,0.08,0.54,Austria,Schelker et al.,Schelker et al. 2016
7.69,0.08,0.00404,0.10072,0.11,0.41,Austria,Schelker et al.,Schelker et al. 2016
50.17,0.18,0.00949,0.10072,0.07,0.72,Austria,Schelker et al.,Schelker et al. 2016
15.33,0.07,0.00262,0.10072,0.07,0.56,Austria,Schelker et al.,Schelker et al. 2016
5.46,0.04,0.00116,0.10072,0.07,0.41,Austria,Schelker et al.,Schelker et al. 2016
13.34,0.18,0.06447,0.02472,0.11,3.04,Austria,Schelker et al.,Schelker et al. 2016
89.83,0.07,0.0124,0.07134,0.12,1.47,Austria,Schelker et al.,Schelker et al. 2016
11.57,0.03,0.00769,0.07134,0.2,1.05,Austria,Schelker et al.,Schelker et al. 2016
143.6,0.05,0.0124,0.06555,0.21,2.12,Austria,Schelker et al.,Schelker et al. 2016
18.81,0.15,0.023,0.04449,0.08,1.79,Austria,Schelker et al.,Schelker et al. 2016
30.93,0.17,0.032,0.04449,0.1,1.95,Austria,Schelker et al.,Schelker et al. 2016
101.25,0.52,0.17798,0.04449,0.11,2.92,Austria,Schelker et al.,Schelker et al. 2016
24.38,0.16,0.02553,0.04449,0.08,2.03,Austria,Schelker et al.,Schelker et al. 2016
11.65,0.22,0.049,0.04449,0.08,2.81,Austria,Schelker et al.,Schelker et al. 2016
13.31,0.24,0.05977,0.04449,0.09,2.58,Austria,Schelker et al.,Schelker et al. 2016
10.98,0.08,0.00618,0.01615,0.07,1.02,Austria,Schelker et al.,Schelker et al. 2016
59.74,0.54,0.261,0.02745,0.15,3.28,Austria,Schelker et al.,Schelker et al. 2016
68.57,0.45,0.15452,0.02745,0.1,3.31,Austria,Schelker et al.,Schelker et al. 2016
12.34,0.08,0.0049,0.05661,0.07,0.56,Austria,Schelker et al.,Schelker et al. 2016
19.34357,0.194,0.0847,0.0425,0.124,3.523,Raymond,Raymond et al.,Raymond et al. 2012
34.27559,0.541,7.719,0.0063,0.58,24.6,Raymond,Raymond et al.,Raymond et al. 2012
4.96627,0.46,2.8499,0.0084,0.5,12.391,Raymond,Raymond et al.,Raymond et al. 2012
15.76222,0.63,7.7566,0.0048,0.57,21.6,Raymond,Raymond et al.,Raymond et al. 2012
19.94176,0.562,4.3566,0.00875,0.34,22.8,Raymond,Raymond et al.,Raymond et al. 2012
9.62315,0.306,0.6867,0.0176,0.22,10.2,Raymond,Raymond et al.,Raymond et al. 2012
16.64831,0.534,3.204,0.00738,0.3,20,Raymond,Raymond et al.,Raymond et al. 2012
14.90311,0.463,3.4947,0.006,0.34,22.2,Raymond,Raymond et al.,Raymond et al. 2012
8.5323,0.546,2.9599,0.00428,0.39,13.9,Raymond,Raymond et al.,Raymond et al. 2012
12.88751,0.54,1.8949,0.0058,0.29,12.1,Raymond,Raymond et al.,Raymond et al. 2012
3.73563,0.647,3.7597,0.0033,0.39,14.9,Raymond,Raymond et al.,Raymond et al. 2012
11.91116,0.309,0.6242,0.0123,0.2,10.1,Raymond,Raymond et al.,Raymond et al. 2012
12.08026,0.36,1.1189,0.007,0.28,11.1,Raymond,Raymond et al.,Raymond et al. 2012
4.65639,0.578,3.3501,0.0033,0.36,16.1,Raymond,Raymond et al.,Raymond et al. 2012
13.41851,0.242,0.4063,0.011,0.23,7.3,Raymond,Raymond et al.,Raymond et al. 2012
12.17329,0.347,0.8911,0.007,0.24,10.7,Raymond,Raymond et al.,Raymond et al. 2012
5.07384,0.321,0.7768,0.008,0.22,11,Raymond,Raymond et al.,Raymond et al. 2012
9.14402,0.271,0.4173,0.0103,0.2,7.7,Raymond,Raymond et al.,Raymond et al. 2012
4.92738,0.46,4.0206,0.0021,0.5,17.481,Raymond,Raymond et al.,Raymond et al. 2012
7.84802,0.391,1.3939,0.0036,0.31,11.5,Raymond,Raymond et al.,Raymond et al. 2012
8.45104,0.168,1.1204,0.00656,0.39,17.1,Raymond,Raymond et al.,Raymond et al. 2012
9.64342,0.335,1.3487,0.00384,0.33,12.2,Raymond,Raymond et al.,Raymond et al. 2012
11.02099,0.202,0.2576,0.0132,0.15,8.5,Raymond,Raymond et al.,Raymond et al. 2012
6.71491,0.209,0.3336,0.0099,0.19,8.4,Raymond,Raymond et al.,Raymond et al. 2012
11.1545,0.21,0.426,0.005,0.33,6.147,Raymond,Raymond et al.,Raymond et al. 2012
4.01981,0.262,2.4785,0.00223,0.55,17.2,Raymond,Raymond et al.,Raymond et al. 2012
8.76489,0.119,1.1002,0.006,0.43,21.5,Raymond,Raymond et al.,Raymond et al. 2012
4.24065,0.135,0.1886,0.0083,0.27,5.173,Raymond,Raymond et al.,Raymond et al. 2012
6.49591,0.208,0.8817,0.00522,0.27,15.7,Raymond,Raymond et al.,Raymond et al. 2012
7.52535,0.195,0.6006,0.00728,0.2,15.4,Raymond,Raymond et al.,Raymond et al. 2012
4.21997,0.21,0.098,0.0058,0.22,2.122,Raymond,Raymond et al.,Raymond et al. 2012
17.07701,0.224,0.0161,0.0147,0.08,0.9,Raymond,Raymond et al.,Raymond et al. 2012
7.74877,0.166,0.0466,0.0086,0.184,1.527,Raymond,Raymond et al.,Raymond et al. 2012
5.87131,0.256,0.663,0.0029,0.35,7.4,Raymond,Raymond et al.,Raymond et al. 2012
9.04543,0.16,0.215,0.01,0.16,8.4,Raymond,Raymond et al.,Raymond et al. 2012
7.24495,0.143,0.0048,0.0133,0.13,0.26,Raymond,Raymond et al.,Raymond et al. 2012
5.12263,0.15,0.1638,0.0123,0.13,8.4,Raymond,Raymond et al.,Raymond et al. 2012
5.8572,0.145,0.0132,0.0147,0.11,0.827,Raymond,Raymond et al.,Raymond et al. 2012
6.37521,0.127,0.1829,0.0092,0.2,7.2,Raymond,Raymond et al.,Raymond et al. 2012
4.88022,0.119,0.2999,0.008,0.24,10.5,Raymond,Raymond et al.,Raymond et al. 2012
10.69925,0.14,0.0141,0.0147,0.11,0.913,Raymond,Raymond et al.,Raymond et al. 2012
5.24813,0.182,0.1441,0.011,0.11,7.2,Raymond,Raymond et al.,Raymond et al. 2012
6.29873,0.209,0.2167,0.0042,0.25,4.148,Raymond,Raymond et al.,Raymond et al. 2012
5.65637,0.155,0.1424,0.0075,0.183,5.019,Raymond,Raymond et al.,Raymond et al. 2012
5.40143,0.24,0.6864,0.0034,0.26,11,Raymond,Raymond et al.,Raymond et al. 2012
5.35514,0.073,0.0486,0.0126,0.23,2.896,Raymond,Raymond et al.,Raymond et al. 2012
9.73867,0.211,0.1599,0.0038,0.26,2.916,Raymond,Raymond et al.,Raymond et al. 2012
3.62977,0.205,0.7669,0.00343,0.29,12.9,Raymond,Raymond et al.,Raymond et al. 2012
8.38158,0.223,0.1252,0.0064,0.14,4.01,Raymond,Raymond et al.,Raymond et al. 2012
12.24154,0.21,0.503,0.004,0.23,10.415,Raymond,Raymond et al.,Raymond et al. 2012
3.51924,0.211,0.3882,0.0038,0.23,8,Raymond,Raymond et al.,Raymond et al. 2012
4.24959,0.104,0.0272,0.0088,0.2,1.308,Raymond,Raymond et al.,Raymond et al. 2012
10.07437,0.096,0.0139,0.0133,0.14,1.031,Raymond,Raymond et al.,Raymond et al. 2012
8.21245,0.096,0.0162,0.0133,0.14,1.207,Raymond,Raymond et al.,Raymond et al. 2012
9.52212,0.094,0.0325,0.0126,0.15,2.302,Raymond,Raymond et al.,Raymond et al. 2012
3.78579,0.12,0.1536,0.00898,0.16,8,Raymond,Raymond et al.,Raymond et al. 2012
4.39961,0.18,0.6577,0.0033,0.29,12.6,Raymond,Raymond et al.,Raymond et al. 2012
9.94402,0.155,1.0546,0.00392,0.28,24.3,Raymond,Raymond et al.,Raymond et al. 2012
10.97692,0.098,0.05,0.0114,0.15,3.4,Raymond,Raymond et al.,Raymond et al. 2012
10.61766,0.138,0.0154,0.03,0.04,2.787,Raymond,Raymond et al.,Raymond et al. 2012
8.47218,0.097,0.0206,0.0208,0.08,2.651,Raymond,Raymond et al.,Raymond et al. 2012
12.05301,0.225,0.1951,0.0065,0.11,7.883,Raymond,Raymond et al.,Raymond et al. 2012
3.95314,0.095,0.0839,0.0083,0.2,4.413,Raymond,Raymond et al.,Raymond et al. 2012
7.63756,0.197,0.143,0.0072,0.11,6.6,Raymond,Raymond et al.,Raymond et al. 2012
0.96125,0.089,0.0198,0.0088,0.197,1.131,Raymond,Raymond et al.,Raymond et al. 2012
4.2334,0.095,0.0775,0.0133,0.12,6.8,Raymond,Raymond et al.,Raymond et al. 2012
5.84352,0.142,0.3966,0.00559,0.19,14.7,Raymond,Raymond et al.,Raymond et al. 2012
2.9516,0.111,0.0267,0.0086,0.157,1.532,Raymond,Raymond et al.,Raymond et al. 2012
3.50847,0.089,0.0881,0.0092,0.18,5.5,Raymond,Raymond et al.,Raymond et al. 2012
4.3299,0.107,0.0789,0.0123,0.11,6.7,Raymond,Raymond et al.,Raymond et al. 2012
5.05453,0.154,0.0503,0.0047,0.2,1.633,Raymond,Raymond et al.,Raymond et al. 2012
3.51552,0.14,0.0395,0.0047,0.21,1.342,Raymond,Raymond et al.,Raymond et al. 2012
4.575,0.224,0.1161,0.0038,0.16,3.24,Raymond,Raymond et al.,Raymond et al. 2012
4.84947,0.09,0.0913,0.0116,0.13,7.8,Raymond,Raymond et al.,Raymond et al. 2012
5.12511,0.129,0.1005,0.0075,0.14,5.567,Raymond,Raymond et al.,Raymond et al. 2012
5.80992,0.095,0.0794,0.0064,0.22,3.8,Raymond,Raymond et al.,Raymond et al. 2012
7.24565,0.11,0.0109,0.03,0.04,2.48,Raymond,Raymond et al.,Raymond et al. 2012
5.68603,0.137,0.1177,0.0053,0.18,4.774,Raymond,Raymond et al.,Raymond et al. 2012
7.27841,0.108,0.0108,0.03,0.04,2.502,Raymond,Raymond et al.,Raymond et al. 2012
2.91079,0.121,0.1012,0.00951,0.11,7.6,Raymond,Raymond et al.,Raymond et al. 2012
6.0788,0.159,0.1111,0.0053,0.15,4.66,Raymond,Raymond et al.,Raymond et al. 2012
6.01576,0.175,0.1127,0.0072,0.1,6.44,Raymond,Raymond et al.,Raymond et al. 2012
6.8435,0.136,0.0987,0.0082,0.11,6.6,Raymond,Raymond et al.,Raymond et al. 2012
4.3434,0.077,0.0388,0.0132,0.12,4.2,Raymond,Raymond et al.,Raymond et al. 2012
3.92686,0.14,0.0924,0.0038,0.22,3,Raymond,Raymond et al.,Raymond et al. 2012
7.17326,0.128,0.0328,0.0114,0.079,3.248,Raymond,Raymond et al.,Raymond et al. 2012
2.30068,0.135,0.1071,0.0042,0.2,3.968,Raymond,Raymond et al.,Raymond et al. 2012
2.46637,0.107,0.171,0.00619,0.17,9.4,Raymond,Raymond et al.,Raymond et al. 2012
4.76531,0.135,0.014,0.0102,0.08,1.292,Raymond,Raymond et al.,Raymond et al. 2012
4.125,0.13,0.2088,0.004,0.21,7.649,Raymond,Raymond et al.,Raymond et al. 2012
3.09339,0.071,0.0675,0.00779,0.19,5,Raymond,Raymond et al.,Raymond et al. 2012
6.0235,0.115,0.0923,0.00825,0.11,7.3,Raymond,Raymond et al.,Raymond et al. 2012
6.82449,0.14,0.1058,0.0053,0.14,5.4,Raymond,Raymond et al.,Raymond et al. 2012
1.00781,0.118,0.0344,0.0058,0.15,1.946,Raymond,Raymond et al.,Raymond et al. 2012
4.19447,0.061,0.0154,0.0208,0.08,3.149,Raymond,Raymond et al.,Raymond et al. 2012
7.87354,0.061,0.0154,0.0208,0.08,3.16,Raymond,Raymond et al.,Raymond et al. 2012
1.8809,0.1,0.4266,0.00562,0.18,23.7,Raymond,Raymond et al.,Raymond et al. 2012
1.00165,0.183,0.8696,0.00223,0.24,19.8,Raymond,Raymond et al.,Raymond et al. 2012
4.62526,0.051,0.0105,0.0088,0.21,0.983,Raymond,Raymond et al.,Raymond et al. 2012
4.96089,0.169,0.3755,0.00251,0.22,10.1,Raymond,Raymond et al.,Raymond et al. 2012
1.40393,0.113,0.0299,0.0058,0.14,1.891,Raymond,Raymond et al.,Raymond et al. 2012
4.48428,0.2,0.1229,0.0065,0.07,8.775,Raymond,Raymond et al.,Raymond et al. 2012
5.09649,0.045,0.0145,0.0126,0.16,2.012,Raymond,Raymond et al.,Raymond et al. 2012
2.90815,0.044,0.0413,0.009,0.22,4.263,Raymond,Raymond et al.,Raymond et al. 2012
3.02768,0.098,0.2352,0.0036,0.24,10,Raymond,Raymond et al.,Raymond et al. 2012
3.98844,0.11,0.1434,0.004,0.19,6.862,Raymond,Raymond et al.,Raymond et al. 2012
4.35475,0.098,0.0768,0.0053,0.16,4.9,Raymond,Raymond et al.,Raymond et al. 2012
5.08022,0.08,0.0049,0.0147,0.07,0.877,Raymond,Raymond et al.,Raymond et al. 2012
5.11399,0.092,0.0533,0.0064,0.139,4.171,Raymond,Raymond et al.,Raymond et al. 2012
6.5834,0.134,0.06,0.0038,0.16,2.8,Raymond,Raymond et al.,Raymond et al. 2012
2.77064,0.09,0.0792,0.00557,0.16,5.5,Raymond,Raymond et al.,Raymond et al. 2012
5.78635,0.078,0.0524,0.0064,0.16,4.2,Raymond,Raymond et al.,Raymond et al. 2012
3.10939,0.07,0.0097,0.0102,0.11,1.254,Raymond,Raymond et al.,Raymond et al. 2012
4.17847,0.111,0.0558,0.0038,0.181,2.777,Raymond,Raymond et al.,Raymond et al. 2012
3.38371,0.079,0.2299,0.00638,0.15,19.4,Raymond,Raymond et al.,Raymond et al. 2012
13.2303,0.046,0.006,0.0133,0.12,1.084,Raymond,Raymond et al.,Raymond et al. 2012
1.77681,0.192,0.0523,0.0075,0.05,5.451,Raymond,Raymond et al.,Raymond et al. 2012
13.07802,0.06,0.0049,0.03,0.04,2.043,Raymond,Raymond et al.,Raymond et al. 2012
5.85815,0.121,0.0704,0.0053,0.11,5.292,Raymond,Raymond et al.,Raymond et al. 2012
3.70401,0.119,0.0823,0.0065,0.09,7.685,Raymond,Raymond et al.,Raymond et al. 2012
5.67718,0.115,0.0455,0.0053,0.11,3.6,Raymond,Raymond et al.,Raymond et al. 2012
2.73172,0.1,0.007,0.0133,0.05,1.396,Raymond,Raymond et al.,Raymond et al. 2012
4.37931,0.075,0.0202,0.0114,0.077,3.496,Raymond,Raymond et al.,Raymond et al. 2012
7.72424,0.116,0.0195,0.0047,0.12,1.4,Raymond,Raymond et al.,Raymond et al. 2012
4.54936,0.04,0.0273,0.009,0.18,3.791,Raymond,Raymond et al.,Raymond et al. 2012
4.73087,0.106,0.0443,0.0053,0.11,3.8,Raymond,Raymond et al.,Raymond et al. 2012
2.90782,0.144,0.0399,0.0038,0.11,2.52,Raymond,Raymond et al.,Raymond et al. 2012
5.1913,0.098,0.034,0.0051,0.12,2.891,Raymond,Raymond et al.,Raymond et al. 2012
8.87066,0.087,0.0118,0.0086,0.08,1.7,Raymond,Raymond et al.,Raymond et al. 2012
4.76767,0.085,0.0475,0.0053,0.13,4.3,Raymond,Raymond et al.,Raymond et al. 2012
5.11294,0.064,0.0164,0.0114,0.08,3.2,Raymond,Raymond et al.,Raymond et al. 2012
4.36347,0.097,0.0482,0.0053,0.112,4.433,Raymond,Raymond et al.,Raymond et al. 2012
